Account Number,xxxx1234
Account Type,Business Chequing
Period,December 1 2025 - December 31 2025
Client,Northview Consulting Inc.

Date,Description,Withdrawals ($),Deposits ($),Balance ($)
2025-12-02,INTERAC e-TRANSFER FROM SUMMIT TECH GROUP REF 4829103,,8500.00,50818.55
2025-12-03,ADP PAYROLL 784291038,14230.00,,36588.55
2025-12-04,HYDRO ONE NETWORKS 00291847290,312.45,,36276.10
2025-12-05,CRA PAYROLL REMITTANCE 847291038,3841.20,,32434.90
2025-12-08,INTERAC e-TRANSFER FROM MERIDIAN DESIGN PARTNERS REF 5012847,,6200.00,38634.90
2025-12-09,ENBRIDGE GAS 00482910372,189.30,,38445.60
2025-12-10,ROGERS COMMUNICATIONS 0029183847,214.50,,38231.10
2025-12-11,AMAZON WEB SERVICES 482910283,143.22,,38087.88
2025-12-12,OFFICE DEPOT 00482910,89.43,,37998.45
2025-12-15,INTERAC e-TRANSFER FROM PARKVIEW MEDICAL CENTRE REF 6183920,,12000.00,49998.45
2025-12-16,ADP PAYROLL 784291039,14230.00,,35768.45
2025-12-17,TD VISA PAYMENT FROM CHEQUING,2500.00,,33268.45
2025-12-18,INTACT INSURANCE GROUP 00281930482,1842.00,,31426.45
2025-12-19,CRA HST REMITTANCE 291038472,4218.75,,27207.70
2025-12-22,STAPLES BUSINESS ADVANTAGE 0048291,234.67,,26973.03
2025-12-23,ZOOM VIDEO COMMUNICATIONS,22.11,,26950.92
2025-12-24,MICROSOFT 365 BUSINESS 0029183,38.50,,26912.42
2025-12-29,TRANSFER TO SAVINGS ACCOUNT RBC xxxx5678,5000.00,,21912.42
2025-12-30,BANK SERVICE CHARGES DEC 2025,43.50,,21868.92
2025-12-31,INTEREST EARNED DEC 2025,,14.22,21883.14
